iter	Passed	Remaining
731	4248	1555
732	4253	1549
733	4263	1545
734	4271	1539
735	4283	1536
736	4288	1530
737	4293	1524
738	4336	1531
739	4343	1526
740	4348	1520
741	4355	1514
742	4362	1509
743	4369	1503
744	4386	1501
745	4393	1495
746	4399	1490
747	4405	1484
748	4412	1478
749	4418	1472
750	4431	1469
751	4452	1468
752	4459	1462
753	4465	1456
754	4472	1451
755	4478	1445
756	4484	1439
757	4495	1435
758	4502	1429
759	4511	1424
760	4541	1426
761	4547	1420
762	4554	1414
763	4572	1412
764	4578	1406
765	4598	1404
766	4609	1400
767	4615	1394
768	4622	1388
769	4631	1383
770	4642	1378
771	4646	1372
772	4652	1366
773	4657	1359
774	4662	1353
775	4668	1347
776	4673	1341
777	4681	1335
778	4697	1332
779	4704	1326
780	4729	1326
781	4736	1320
782	4743	1314
783	4751	1309
784	4767	1305
785	4772	1299
786	4779	1293
787	4784	1287
788	4790	1281
789	4795	1274
790	4807	1270
791	4812	1263
792	4817	1257
793	4823	1251
794	4828	1245
795	4835	1239
796	4843	1233
797	4848	1227
798	4858	1222
799	4863	1215
800	4878	1211
801	4896	1208
802	4917	1206
803	4923	1200
804	4930	1194
805	4935	1187
806	4942	1182
807	4951	1176
808	4957	1170
809	4962	1164
810	4969	1158
811	4976	1152
812	4982	1146
813	4988	1139
814	4994	1133
815	5000	1127
816	5006	1121
817	5031	1119
818	5039	1113
819	5046	1107
820	5052	1101
821	5069	1097
822	5075	1091
823	5098	1089
824	5109	1083
825	5117	1078
826	5134	1074
827	5141	1067
828	5146	1061
829	5152	1055
830	5158	1049
831	5164	1042
832	5190	1040
833	5197	1034
834	5205	1028
835	5210	1022
836	5216	1015
837	5223	1009
838	5230	1003
839	5235	997
840	5240	990
841	5247	984
842	5252	978
843	5258	971
844	5263	965
845	5270	959
846	5286	955
847	5299	949
848	5310	944
849	5316	938
850	5325	932
851	5331	926
852	5337	919
853	5354	915
854	5359	908
855	5365	902
856	5373	896
857	5379	890
858	5386	884
859	5392	877
860	5398	871
861	5405	865
862	5412	859
863	5417	852
864	5423	846
865	5430	840
866	5435	833
867	5440	827
868	5446	821
869	5451	814
870	5457	808
871	5465	802
872	5470	795
873	5476	789
874	5481	783
875	5486	776
876	5490	770
877	5494	763
878	5503	757
879	5511	751
880	5521	745
881	5528	739
882	5532	733
883	5535	726
884	5539	719
885	5544	713
886	5549	707
887	5554	700
888	5559	694
889	5564	687
890	5568	681
891	5572	674
892	5578	668
893	5583	662
894	5589	655
895	5593	649
896	5599	642
897	5604	636
898	5610	630
899	5618	624
900	5623	617
901	5630	611
902	5635	605
903	5647	599
904	5654	593
905	5658	587
906	5664	580
907	5669	574
908	5676	568
909	5684	562
910	5692	556
911	5697	549
912	5703	543
913	5709	537
914	5715	530
915	5720	524
916	5726	518
917	5733	512
918	5738	505
919	5743	499
920	5758	493
921	5765	487
922	5781	482
923	5790	476
924	5800	470
925	5806	464
926	5816	458
927	5820	451
928	5825	445
929	5835	439
930	5843	433
931	5856	427
932	5861	420
933	5868	414
934	5874	408
935	5883	402
936	5892	396
937	5899	389
938	5909	383
939	5914	377
940	5919	371
941	5925	364
942	5929	358
943	5932	351
944	5935	345
945	5941	339
946	5946	332
947	5951	326
948	5955	320
949	5959	313
950	5964	307
951	5969	300
952	5982	295
953	5989	288
954	5993	282
955	6001	276
956	6007	269
957	6013	263
958	6021	257
959	6026	251
960	6032	244
961	6042	238
962	6057	232
963	6066	226
964	6072	220
965	6078	213
966	6084	207
967	6087	201
968	6089	194
969	6094	188
970	6097	182
971	6100	175
972	6105	169
973	6109	163
974	6113	156
975	6116	150
976	6121	144
977	6125	137
978	6128	131
979	6130	125
980	6134	118
981	6138	112
982	6141	106
983	6144	99
984	6146	93
985	6148	87
986	6150	81
987	6154	74
988	6156	68
989	6159	62
990	6161	55
991	6163	49
992	6166	43
993	6168	37
994	6172	31
995	6177	24
996	6180	18
997	6183	12
998	6186	6
999	6189	0
