iter	Passed	Remaining
555	4057	3240
556	4062	3230
557	4067	3222
558	4072	3212
559	4082	3208
560	4089	3199
561	4094	3191
562	4100	3182
563	4117	3183
564	4128	3178
565	4135	3171
566	4141	3162
567	4152	3158
568	4158	3149
569	4163	3140
570	4168	3132
571	4181	3129
572	4191	3123
573	4208	3123
574	4215	3115
575	4225	3110
576	4231	3101
577	4237	3093
578	4243	3085
579	4248	3076
580	4252	3067
581	4259	3059
582	4265	3051
583	4274	3045
584	4280	3036
585	4286	3028
586	4292	3020
587	4298	3011
588	4304	3003
589	4309	2994
590	4314	2985
591	4320	2977
592	4325	2968
593	4330	2959
594	4335	2950
595	4349	2948
596	4355	2940
597	4371	2938
598	4377	2930
599	4383	2922
600	4388	2913
601	4396	2906
602	4415	2907
603	4434	2907
604	4440	2899
605	4444	2889
606	4451	2882
607	4458	2874
608	4465	2866
609	4471	2858
610	4479	2851
611	4486	2844
612	4489	2834
613	4494	2825
614	4499	2816
615	4506	2808
616	4511	2800
617	4518	2792
618	4523	2784
619	4527	2774
620	4533	2766
621	4540	2759
622	4545	2750
623	4552	2743
624	4560	2736
625	4565	2727
626	4574	2721
627	4603	2726
628	4611	2720
629	4621	2714
630	4628	2706
631	4641	2702
632	4654	2698
633	4664	2693
634	4671	2685
635	4678	2677
636	4682	2668
637	4688	2660
638	4693	2651
639	4700	2643
640	4705	2635
641	4710	2626
642	4719	2620
643	4726	2612
644	4732	2604
645	4737	2596
646	4743	2588
647	4759	2585
648	4767	2578
649	4776	2571
650	4784	2565
651	4794	2559
652	4802	2551
653	4808	2544
654	4816	2536
655	4822	2529
656	4830	2521
657	4838	2514
658	4853	2511
659	4859	2503
660	4865	2495
661	4870	2486
662	4886	2483
663	4900	2479
664	4907	2472
665	4927	2471
666	4941	2467
667	4950	2460
668	4956	2452
669	4961	2443
670	4976	2440
671	4983	2432
672	4988	2424
673	4994	2415
674	5002	2408
675	5008	2400
676	5014	2392
677	5026	2387
678	5034	2379
679	5044	2374
680	5052	2366
681	5060	2359
682	5067	2352
683	5074	2344
684	5083	2337
685	5088	2329
686	5102	2324
687	5109	2317
688	5118	2310
689	5126	2303
690	5140	2298
691	5146	2290
692	5157	2284
693	5162	2276
694	5169	2268
695	5181	2263
696	5189	2256
697	5196	2248
698	5202	2240
699	5209	2232
700	5219	2226
701	5228	2219
702	5247	2217
703	5254	2209
704	5261	2201
705	5266	2193
706	5270	2184
707	5276	2176
708	5282	2168
709	5289	2160
710	5295	2152
711	5300	2143
712	5305	2135
713	5311	2127
714	5317	2119
715	5323	2111
716	5328	2103
717	5334	2095
718	5341	2087
719	5346	2079
720	5351	2070
721	5357	2062
722	5362	2054
723	5368	2046
724	5374	2038
725	5379	2030
726	5391	2024
727	5396	2016
728	5410	2011
729	5423	2006
730	5428	1997
731	5433	1989
732	5437	1980
733	5442	1972
734	5446	1963
735	5452	1955
736	5457	1947
737	5462	1939
738	5469	1931
739	5479	1925
740	5484	1917
741	5509	1915
742	5515	1907
743	5521	1899
744	5527	1891
745	5533	1884
746	5540	1876
747	5546	1868
748	5551	1860
749	5557	1852
750	5562	1844
751	5567	1836
752	5571	1827
753	5577	1819
754	5583	1811
755	5591	1804
756	5596	1796
757	5601	1788
758	5607	1780
759	5624	1776
760	5634	1769
761	5640	1761
762	5647	1754
763	5654	1746
764	5663	1739
765	5671	1732
766	5678	1724
